roc_auc,average_precision,precision,recall,f1,brier_score,true_negatives,false_positives,false_negatives,true_positives,threshold,expected_cost,cost_per_1000
0.9819944282060651,0.8672691164427172,0.25691699604743085,0.9558823529411765,0.40498442367601245,0.010850868125438902,1744,188,3,65,0.01,263.0,131.5
0.9819944282060651,0.8672691164427172,0.3217821782178218,0.9558823529411765,0.48148148148148145,0.010850868125438902,1795,137,3,65,0.02,212.0,106.0
0.9819944282060651,0.8672691164427172,0.3559322033898305,0.9264705882352942,0.5142857142857142,0.010850868125438902,1818,114,5,63,0.03,239.0,119.5
0.9819944282060651,0.8672691164427172,0.38181818181818183,0.9264705882352942,0.5407725321888412,0.010850868125438902,1830,102,5,63,0.04,227.0,113.5
0.9819944282060651,0.8672691164427172,0.40397350993377484,0.8970588235294118,0.5570776255707762,0.010850868125438902,1842,90,7,61,0.05,265.0,132.5
0.9819944282060651,0.8672691164427172,0.43478260869565216,0.8823529411764706,0.5825242718446602,0.010850868125438902,1854,78,8,60,0.060000000000000005,278.0,139.0
0.9819944282060651,0.8672691164427172,0.45038167938931295,0.8676470588235294,0.592964824120603,0.010850868125438902,1860,72,9,59,0.06999999999999999,297.0,148.5
0.9819944282060651,0.8672691164427172,0.49166666666666664,0.8676470588235294,0.6276595744680851,0.010850868125438902,1871,61,9,59,0.08,286.0,143.0
0.9819944282060651,0.8672691164427172,0.5042735042735043,0.8676470588235294,0.6378378378378379,0.010850868125438902,1874,58,9,59,0.09,283.0,141.5
0.9819944282060651,0.8672691164427172,0.5221238938053098,0.8676470588235294,0.6519337016574586,0.010850868125438902,1878,54,9,59,0.09999999999999999,279.0,139.5
0.9819944282060651,0.8672691164427172,0.5229357798165137,0.8382352941176471,0.6440677966101694,0.010850868125438902,1880,52,11,57,0.11,327.0,163.5
0.9819944282060651,0.8672691164427172,0.5333333333333333,0.8235294117647058,0.6473988439306358,0.010850868125438902,1883,49,12,56,0.12,349.0,174.5
0.9819944282060651,0.8672691164427172,0.5656565656565656,0.8235294117647058,0.6706586826347305,0.010850868125438902,1889,43,12,56,0.13,343.0,171.5
0.9819944282060651,0.8672691164427172,0.5773195876288659,0.8235294117647058,0.6787878787878788,0.010850868125438902,1891,41,12,56,0.14,341.0,170.5
0.9819944282060651,0.8672691164427172,0.6021505376344086,0.8235294117647058,0.6956521739130435,0.010850868125438902,1895,37,12,56,0.15000000000000002,337.0,168.5
0.9819944282060651,0.8672691164427172,0.6086956521739131,0.8235294117647058,0.7,0.010850868125438902,1896,36,12,56,0.16,336.0,168.0
0.9819944282060651,0.8672691164427172,0.6153846153846154,0.8235294117647058,0.7044025157232704,0.010850868125438902,1897,35,12,56,0.17,335.0,167.5
0.9819944282060651,0.8672691164427172,0.6179775280898876,0.8088235294117647,0.7006369426751592,0.010850868125438902,1898,34,13,55,0.18000000000000002,359.0,179.5
0.9819944282060651,0.8672691164427172,0.625,0.8088235294117647,0.7051282051282052,0.010850868125438902,1899,33,13,55,0.19,358.0,179.0
0.9819944282060651,0.8672691164427172,0.6395348837209303,0.8088235294117647,0.7142857142857143,0.010850868125438902,1901,31,13,55,0.2,356.0,178.0
0.9819944282060651,0.8672691164427172,0.6395348837209303,0.8088235294117647,0.7142857142857143,0.010850868125438902,1901,31,13,55,0.21000000000000002,356.0,178.0
0.9819944282060651,0.8672691164427172,0.6506024096385542,0.7941176470588235,0.7152317880794702,0.010850868125438902,1903,29,14,54,0.22,379.0,189.5
0.9819944282060651,0.8672691164427172,0.6506024096385542,0.7941176470588235,0.7152317880794702,0.010850868125438902,1903,29,14,54,0.23,379.0,189.5
0.9819944282060651,0.8672691164427172,0.6666666666666666,0.7941176470588235,0.7248322147651006,0.010850868125438902,1905,27,14,54,0.24000000000000002,377.0,188.5
0.9819944282060651,0.8672691164427172,0.675,0.7941176470588235,0.7297297297297297,0.010850868125438902,1906,26,14,54,0.25,376.0,188.0
0.9819944282060651,0.8672691164427172,0.675,0.7941176470588235,0.7297297297297297,0.010850868125438902,1906,26,14,54,0.26,376.0,188.0
0.9819944282060651,0.8672691164427172,0.6835443037974683,0.7941176470588235,0.7346938775510204,0.010850868125438902,1907,25,14,54,0.27,375.0,187.5
0.9819944282060651,0.8672691164427172,0.6923076923076923,0.7941176470588235,0.7397260273972602,0.010850868125438902,1908,24,14,54,0.28,374.0,187.0
0.9819944282060651,0.8672691164427172,0.6923076923076923,0.7941176470588235,0.7397260273972602,0.010850868125438902,1908,24,14,54,0.29000000000000004,374.0,187.0
0.9819944282060651,0.8672691164427172,0.7012987012987013,0.7941176470588235,0.7448275862068966,0.010850868125438902,1909,23,14,54,0.3,373.0,186.5
0.9819944282060651,0.8672691164427172,0.7105263157894737,0.7941176470588235,0.75,0.010850868125438902,1910,22,14,54,0.31,372.0,186.0
